15,55,17
70,16,100
35,46,8
24,91,69
6,28,100
35,12,59
39,21,47
54,70,95
51,92,19
77,40,52
64,0,91
24,68,73
70,11,46
77,14,79
95,44,14
84,39,59
54,70,25
59,59,28
60,12,7
74,23,44
2,63,64
92,14,38
93,61,0
89,90,1
41,64,43
21,27,89
74,44,22
2,18,92
81,10,1
17,44,51
97,66,27
62,38,63
25,34,87
29,40,88
90,99,22
61,94,6
27,48,10
24,75,54
74,0,93
99,34,80
64,17,75
87,10,37
16,84,4
56,41,59
49,21,84
75,30,30
97,2,56
98,2,13
5,41,24
95,26,30
83,16,16
78,26,5
57,24,39
22,99,37
98,19,60
23,15,46
48,25,51
63,98,85
76,18,54
4,27,36
97,19,63
53,87,51
50,8,28
18,68,73
88,80,50
3,5,30
21,78,76
19,23,49
89,23,4
15,11,77
38,51,54
20,87,43
26,28,35
96,90,7
39,14,43
98,78,86
74,7,35
54,46,5
65,4,30
94,67,48
51,75,0
68,93,11
16,52,11
23,13,86
38,52,96
93,55,85
99,89,44
58,36,77
12,28,100
77,5,51
92,52,99
39,14,73
86,93,40
69,40,54
39,42,78
17,50,24
8,89,60
28,22,48
1,27,76
79,64,98
